index_type,period,distance_km,pickup_km,index_value
INCTL,2006-02-01,2400,,246.234
INCTL,2006-02-01,6000,,559.351
INCTL,2006-03-01,50,,34.649
INCTL,2006-03-01,400,,66.132
INCTL,2006-03-01,800,,103.608
INCTL,2006-03-01,2400,,244.79
INCTL,2006-03-01,6000,,555.908
INCTL,2006-04-01,50,,34.17
INCTL,2006-04-01,400,,65.17
INCTL,2006-04-01,800,,102.081
INCTL,2006-04-01,2400,,241.077
INCTL,2006-04-01,6000,,547.328
INCTL,2006-05-01,50,,34.326
INCTL,2006-05-01,400,,65.361
INCTL,2006-05-01,800,,102.31
INCTL,2006-05-01,2400,,241.467
INCTL,2006-05-01,6000,,548.093
INCTL,2006-06-01,50,,34.278
INCTL,2006-06-01,400,,64.991
INCTL,2006-06-01,800,,101.579
INCTL,2006-06-01,2400,,239.253
INCTL,2006-06-01,6000,,542.511
INCTL,2006-07-01,50,,34.375
INCTL,2006-07-01,400,,65.145
INCTL,2006-07-01,800,,101.814
INCTL,2006-07-01,2400,,239.719
INCTL,2006-07-01,6000,,543.429
INCTL,2006-08-01,50,,34.354
INCTL,2006-08-01,400,,65.017
INCTL,2006-08-01,800,,101.566
INCTL,2006-08-01,2400,,238.977
INCTL,2006-08-01,6000,,541.562
INCTL,2006-09-01,50,,34.628
INCTL,2006-09-01,400,,65.691
INCTL,2006-09-01,800,,102.706
INCTL,2006-09-01,2400,,241.929
INCTL,2006-09-01,6000,,548.56
INCTL,2006-10-01,50,,34.527
INCTL,2006-10-01,400,,65.447
INCTL,2006-10-01,800,,102.303
INCTL,2006-10-01,2400,,240.87
INCTL,2006-10-01,6000,,546.004
INCTL,2006-11-01,50,,34.631
INCTL,2006-11-01,400,,65.433
INCTL,2006-11-01,800,,102.172
INCTL,2006-11-01,2400,,240.168
INCTL,2006-11-01,6000,,543.94
INCTL,2006-12-01,50,,34.667
INCTL,2006-12-01,400,,65.413
INCTL,2006-12-01,800,,102.098
INCTL,2006-12-01,2400,,239.812
INCTL,2006-12-01,6000,,542.901
INCTL,2007-01-01,50,,34.691
INCTL,2007-01-01,400,,65.608
INCTL,2007-01-01,800,,102.49
INCTL,2007-01-01,2400,,240.983
INCTL,2007-01-01,6000,,545.814
INCTL,2007-02-01,50,,34.697
INCTL,2007-02-01,400,,65.515
INCTL,2007-02-01,800,,102.289
INCTL,2007-02-01,2400,,240.321
INCTL,2007-02-01,6000,,544.093
INCTL,2007-03-01,50,,34.949
INCTL,2007-03-01,400,,66.088
INCTL,2007-03-01,800,,103.233
INCTL,2007-03-01,2400,,242.73
INCTL,2007-03-01,6000,,549.786
INCTL,2007-04-01,50,,35.052
INCTL,2007-04-01,400,,66.398
INCTL,2007-04-01,800,,103.781
INCTL,2007-04-01,2400,,244.218
INCTL,2007-04-01,6000,,553.384
INCTL,2007-05-01,50,,35.3789
INCTL,2007-05-01,400,,66.9604
INCTL,2007-05-01,800,,104.6125
INCTL,2007-05-01,2400,,246.1266
INCTL,2007-05-01,6000,,557.7128
INCTL,2007-06-01,50,,35.825
INCTL,2007-06-01,400,,67.8512
INCTL,2007-06-01,800,,106.011
INCTL,2007-06-01,2400,,249.5594
INCTL,2007-06-01,6000,,565.7254
INCTL,2007-07-01,50,,35.9098
INCTL,2007-07-01,400,,67.7169
INCTL,2007-07-01,800,,105.6263
INCTL,2007-07-01,2400,,248.1731
INCTL,2007-07-01,6000,,562.0854
INCTL,2007-08-01,50,,36.1079
INCTL,2007-08-01,400,,68.1561
INCTL,2007-08-01,800,,106.341
INCTL,2007-08-01,2400,,249.9902
INCTL,2007-08-01,6000,,566.3827
INCTL,2007-09-01,50,,36.1613
INCTL,2007-09-01,400,,68.2419
INCTL,2007-09-01,800,,106.4639
INCTL,2007-09-01,2400,,250.2612
INCTL,2007-09-01,6000,,566.9873
INCTL,2007-10-01,50,,36.1754
INCTL,2007-10-01,400,,68.3034
INCTL,2007-10-01,800,,106.5794
INCTL,2007-10-01,2400,,250.5931
INCTL,2007-10-01,6000,,567.806
INCTL,2007-11-01,50,,36.1998
INCTL,2007-11-01,400,,68.4011
INCTL,2007-11-01,800,,106.7609
INCTL,2007-11-01,2400,,251.1098
INCTL,2007-11-01,6000,,569.0767
INCTL,2007-12-01,50,,36.2468
INCTL,2007-12-01,400,,68.5854
INCTL,2007-12-01,800,,107.1021
INCTL,2007-12-01,2400,,252.0787
INCTL,2007-12-01,6000,,571.458
INCTL,2008-01-01,50,,36.2739
INCTL,2008-01-01,400,,68.832
INCTL,2008-01-01,800,,107.5997
INCTL,2008-01-01,2400,,253.5798
INCTL,2008-01-01,6000,,575.2173
INCTL,2008-02-01,50,,36.3117
INCTL,2008-02-01,400,,68.9659
INCTL,2008-02-01,800,,107.8434
INCTL,2008-02-01,2400,,254.2626
INCTL,2008-02-01,6000,,576.888
INCTL,2008-03-01,50,,36.3203
INCTL,2008-03-01,400,,69.0221
INCTL,2008-03-01,800,,107.954
INCTL,2008-03-01,2400,,254.5912
INCTL,2008-03-01,6000,,577.7068
INCTL,2008-04-01,50,,36.3523
INCTL,2008-04-01,400,,69.0953
INCTL,2008-04-01,800,,108.0744
INCTL,2008-04-01,2400,,254.9
INCTL,2008-04-01,6000,,578.4396
INCTL,2008-05-01,50,,37.1909
INCTL,2008-05-01,400,,71.3447
INCTL,2008-05-01,800,,111.9564
INCTL,2008-05-01,2400,,265.1942
INCTL,2008-05-01,6000,,603.0727
INCTL,2008-06-01,50,,37.7173
INCTL,2008-06-01,400,,72.2864
INCTL,2008-06-01,800,,113.4075
INCTL,2008-06-01,2400,,268.479
INCTL,2008-06-01,6000,,610.3299
INCTL,2008-07-01,50,,38.3526
INCTL,2008-07-01,400,,73.3479
INCTL,2008-07-01,800,,114.9932
INCTL,2008-07-01,2400,,271.9455
INCTL,2008-07-01,6000,,617.8668
INCTL,2008-08-01,50,,38.5698
INCTL,2008-08-01,400,,73.6997
INCTL,2008-08-01,800,,115.52
INCTL,2008-08-01,2400,,273.0491
INCTL,2008-08-01,6000,,620.1756
INCTL,2008-09-01,50,,38.5779
INCTL,2008-09-01,400,,73.7454
INCTL,2008-09-01,800,,115.6087
INCTL,2008-09-01,2400,,273.3095
INCTL,2008-09-01,6000,,620.8225
INCTL,2008-10-01,50,,38.6918
INCTL,2008-10-01,400,,74.0054
INCTL,2008-10-01,800,,116.043
INCTL,2008-10-01,2400,,274.3985
INCTL,2008-10-01,6000,,623.3521
INCTL,2008-11-01,50,,38.8572
INCTL,2008-11-01,400,,74.2555
INCTL,2008-11-01,800,,116.4125
INCTL,2008-11-01,2400,,275.1127
INCTL,2008-11-01,6000,,624.7421
INCTL,2008-12-01,50,,38.8364
INCTL,2008-12-01,400,,74.2386
INCTL,2008-12-01,800,,116.3973
INCTL,2008-12-01,2400,,275.1211
INCTL,2008-12-01,6000,,624.816
INCTL,2009-01-01,50,,38.6736
INCTL,2009-01-01,400,,74.0043
INCTL,2009-01-01,800,,116.0664
INCTL,2009-01-01,2400,,274.4906
INCTL,2009-01-01,6000,,623.5772
INCTL,2009-02-01,50,,38.6593
INCTL,2009-02-01,400,,74.0226
INCTL,2009-02-01,800,,116.1164
INCTL,2009-02-01,2400,,274.6999
INCTL,2009-02-01,6000,,624.1692
INCTL,2009-03-01,50,,38.6109
INCTL,2009-03-01,400,,73.9811
INCTL,2009-03-01,800,,116.0776
INCTL,2009-03-01,2400,,274.7024
INCTL,2009-03-01,6000,,624.2872
INCTL,2009-04-01,50,,38.4519
INCTL,2009-04-01,400,,73.8172
INCTL,2009-04-01,800,,115.8837
INCTL,2009-04-01,2400,,274.5308
INCTL,2009-04-01,6000,,624.2727
INCTL,2009-05-01,50,,39.0497
INCTL,2009-05-01,400,,74.8119
INCTL,2009-05-01,800,,117.3335
INCTL,2009-05-01,2400,,277.7919
INCTL,2009-05-01,6000,,631.602
INCTL,2009-06-01,50,,38.9436
INCTL,2009-06-01,400,,74.2093
INCTL,2009-06-01,800,,116.1619
INCTL,2009-06-01,2400,,274.3536
INCTL,2009-06-01,6000,,623.071
INCTL,2009-07-01,50,,38.9836
INCTL,2009-07-01,400,,74.1015
INCTL,2009-07-01,800,,115.8746
INCTL,2009-07-01,2400,,273.41
INCTL,2009-07-01,6000,,620.6968
INCTL,2009-08-01,50,,38.8696
INCTL,2009-08-01,400,,74.0088
INCTL,2009-08-01,800,,115.7872
INCTL,2009-08-01,2400,,273.4545
INCTL,2009-08-01,6000,,621.1213
INCTL,2009-09-01,50,,38.8833
INCTL,2009-09-01,400,,73.9938
INCTL,2009-09-01,800,,115.7406
INCTL,2009-09-01,2400,,273.275
INCTL,2009-09-01,6000,,620.6376
INCTL,2009-10-01,50,,38.9347
INCTL,2009-10-01,400,,74.0474
INCTL,2009-10-01,800,,115.8013
INCTL,2009-10-01,2400,,273.3368
INCTL,2009-10-01,6000,,620.6816
INCTL,2009-11-01,50,,38.9458
INCTL,2009-11-01,400,,74.1399
INCTL,2009-11-01,800,,115.9856
INCTL,2009-11-01,2400,,273.8958
INCTL,2009-11-01,6000,,622.0891
INCTL,2009-12-01,50,,38.9664
INCTL,2009-12-01,400,,74.2037
INCTL,2009-12-01,800,,116.0981
INCTL,2009-12-01,2400,,274.2068
INCTL,2009-12-01,6000,,622.8498
INCTL,2010-01-01,50,,38.9784
INCTL,2010-01-01,400,,74.2841
INCTL,2010-01-01,800,,116.252
INCTL,2010-01-01,2400,,274.6822
INCTL,2010-01-01,6000,,624.0692
INCTL,2010-02-01,50,,39.1356
INCTL,2010-02-01,400,,74.8834
INCTL,2010-02-01,800,,117.3722
INCTL,2010-02-01,2400,,277.7953
INCTL,2010-02-01,6000,,631.5982
INCTL,2010-03-01,50,,39.4513
INCTL,2010-03-01,400,,75.5775
INCTL,2010-03-01,800,,118.5212
INCTL,2010-03-01,2400,,280.6324
INCTL,2010-03-01,6000,,638.135
INCTL,2010-04-01,50,,39.6053
INCTL,2010-04-01,400,,75.7954
INCTL,2010-04-01,800,,118.8207
INCTL,2010-04-01,2400,,281.2081
INCTL,2010-04-01,6000,,639.2943
INCTL,2010-05-01,50,,40.3197
INCTL,2010-05-01,400,,76.9753
INCTL,2010-05-01,800,,120.5432
INCTL,2010-05-01,2400,,285.0395
INCTL,2010-05-01,6000,,647.825
INCTL,2010-06-01,50,,40.6168
INCTL,2010-06-01,400,,77.4319
INCTL,2010-06-01,800,,121.2164
INCTL,2010-06-01,2400,,286.3784
INCTL,2010-06-01,6000,,650.5105
INCTL,2010-07-01,50,,40.8675
INCTL,2010-07-01,400,,77.7624
INCTL,2010-07-01,800,,121.6457
INCTL,2010-07-01,2400,,287.1593
INCTL,2010-07-01,6000,,652.0505
INCTL,2010-08-01,50,,40.8775
INCTL,2010-08-01,400,,77.7437
INCTL,2010-08-01,800,,121.6
INCTL,2010-08-01,2400,,286.9717
INCTL,2010-08-01,6000,,651.5179
INCTL,2010-09-01,50,,40.9913
INCTL,2010-09-01,400,,77.7787
INCTL,2010-09-01,800,,121.5741
INCTL,2010-09-01,2400,,286.5316
INCTL,2010-09-01,6000,,650.0176
INCTL,2010-10-01,50,,41.3454
INCTL,2010-10-01,400,,78.45
INCTL,2010-10-01,800,,122.6337
INCTL,2010-10-01,2400,,288.9941
INCTL,2010-10-01,6000,,655.5238
INCTL,2010-11-01,50,,41.5133
INCTL,2010-11-01,400,,78.6713
INCTL,2010-11-01,800,,122.9394
INCTL,2010-11-01,2400,,289.5005
INCTL,2010-11-01,6000,,656.3793
INCTL,2010-12-01,50,,41.7899
INCTL,2010-12-01,400,,79.0309
INCTL,2010-12-01,800,,123.4297
INCTL,2010-12-01,2400,,290.3052
INCTL,2010-12-01,6000,,657.7353
INCTL,2011-01-01,50,,41.8122
INCTL,2011-01-01,400,,79.1069
INCTL,2011-01-01,800,,123.5709
INCTL,2011-01-01,2400,,290.6848
INCTL,2011-01-01,6000,,658.6345
INCTL,2011-02-01,50,,42.07
INCTL,2011-02-01,400,,79.6029
INCTL,2011-02-01,800,,124.3567
INCTL,2011-02-01,2400,,292.5269
INCTL,2011-02-01,6000,,662.7757
INCTL,2011-03-01,50,,42.3171
INCTL,2011-03-01,400,,80.1179
INCTL,2011-03-01,800,,125.2009
INCTL,2011-03-01,2400,,294.5541
INCTL,2011-03-01,6000,,667.365
INCTL,2011-04-01,50,,42.4342
INCTL,2011-04-01,400,,80.3137
INCTL,2011-04-01,800,,125.4979
INCTL,2011-04-01,2400,,295.1902
INCTL,2011-04-01,6000,,668.7143
INCTL,2011-05-01,50,,43.2719
INCTL,2011-05-01,400,,81.6739
INCTL,2011-05-01,800,,127.4597
INCTL,2011-05-01,2400,,299.532
INCTL,2011-05-01,6000,,678.3913
INCTL,2011-06-01,50,,43.1899
INCTL,2011-06-01,400,,81.5934
INCTL,2011-06-01,800,,127.369
INCTL,2011-06-01,2400,,299.4702
INCTL,2011-06-01,6000,,678.4468
INCTL,2011-07-01,50,,43.1345
INCTL,2011-07-01,400,,81.4987
INCTL,2011-07-01,800,,127.2258
INCTL,2011-07-01,2400,,299.1539
INCTL,2011-07-01,6000,,677.7567
INCTL,2011-08-01,50,,43.163
INCTL,2011-08-01,400,,81.6011
INCTL,2011-08-01,800,,127.4103
INCTL,2011-08-01,2400,,299.6808
INCTL,2011-08-01,6000,,679.0647
INCTL,2011-09-01,50,,43.5647
INCTL,2011-09-01,400,,82.1295
INCTL,2011-09-01,800,,128.098
INCTL,2011-09-01,2400,,300.9212
INCTL,2011-09-01,6000,,681.4855
INCTL,2011-10-01,50,,43.6954
INCTL,2011-10-01,400,,82.3235
INCTL,2011-10-01,800,,128.3821
INCTL,2011-10-01,2400,,301.462
INCTL,2011-10-01,6000,,682.5259
INCTL,2011-11-01,50,,43.6644
INCTL,2011-11-01,400,,82.2085
INCTL,2011-11-01,800,,128.1802
INCTL,2011-11-01,2400,,300.8593
INCTL,2011-11-01,6000,,680.9811
INCTL,2011-12-01,50,,43.7146
INCTL,2011-12-01,400,,82.2995
