plate,brand,model,year,color,renavam,active
MIZ5J52,MERCEDES BENZ,A2428 PMERECHIM82,2011,BRANCO,00323083307,true
MJI4A69,SCANIA,,2010,VERMELHA,00273412833,true
MJS3J54,IVECO,TECTOR 240E28,2012,BRANCA,00472535285,true
MJV1I28,SAAB SCANIA,R 420 A6X2,2011,BRANCA,00392563681,true
MKO3G59,VOLVO,FH 400 4X2T,2011,BRANCA,00412614243,true
MKQ5A97,IVECO,TECTOR 240E28,2012,BRANCO,00495621420,true
MKY1E88,FIAT,DUCATO CARGO,2013,BRANCA,00503805092,true
MKY2H33,VOLVO,VM 270 6X2R,2013,BRANCO,00531507610,true
MLD4882,PALMEIRA,SRBI 3E,2013,CINZA,00530798506,true
MLS5J90,RANDON,SRFG LO,2013,PRETA,00565717421,true
MLU0D90,VOLKSWAGEN,,2013,PRATA,00583904084,true
MLW4J39,MERCEDES BENZ,ATEGO 2430,2014,PRATA,01029169001,true
MMF8E04,FORD,CARGO 2429 L,2013,AZUL,00568077741,true
MMI4F74,IVECO,STRALIS 600S48T,2013,VERMELHA,01005427515,true
MYA1F23,MERCEDES BENZ,L 1620,2001,AZUL,00753709457,true
NFH7B65,VOLVO,FH 12 380 4X2 2T,2004,BRANCO,00828608717,true
NJI7G21,FORD,CARGO 815/ 815 S/ 815 E TURBO 2P (DIESEL,2010,BRANCA,00281629307,true
NQP9I00,VOLKSWAGEN,19.320 CLC TT,2009,CINZA,00180934007,true
NTY3J26,GUERRA,SR GUERRA AG GR,2010,VERMELHA,00274990547,true
OGQ5J16,FACCHINI,SRF CFED,2011,PRETA,00387413880,true
OKG9E09,IVECO,TECTOR 240E28S,2014,BRANCA,01037232710,true
OXK4J63,VOLKSWAGEN,VW/24.280 CRM 6X2,2014,BRANCA,01008249863,true
PCF9A11,VOLVO,FH 460 6X2T,2014,PRATA,01033848813,true
PFC6H11,RODOFORTSA,SRFG SI 2E,2011,AZUL,00412004674,true
PGN7G85,FORD,CARGO 2429 L,2013,AZUL,00599100192,true
PME3G29,MERCEDES BENZ,ATEGO 2425 3 EIXOS 2P,2014,BRANCA,01023601009,true
PXB2B35,RENAULT,KGOO EXPRESS16,2015,BRANCA,01071575535,true
QBC5H83,IVECO,TECTOR 240E28,2015,BRANCO,01082335190,true
QHA4G48,IVECO,STRALIS 600S44T,2013,CINZA,01025336370,true
QIJ2E30,MERCEDES BENZ,ATEGO 2430,2014,AZUL,01048246687,true
QIJ9H16,IVECO,TECTOR 240E28,2016,BRANCA,01097682762,true
QIL1469,VOLKSWAGEN,24.280 CRM 6X2,2016,BRANCA,01135872810,true
QIZ0471,FACCHINI,FACCHINI SRF LO,2018,CINZA,01142325846,true
QJE5I22,VOLVO,FH 420 4X2T,2018,BRANCO,01146686460,true
QJS8D17,FORD,CARGO 2421 T 3 EIXOS 2P,2018,VERMELHO,01174695290,true
QTK1J58,VOLVO,FH 500 6X2T,2019,AZUL,01187436221,true
QTL5304,SR,SRF LO,2019,CINZA,01195571523,true
QTL5D04,FACCHINI,FACCHINI SRF LO,2019,CINZA,01195571523,true
QTR3E25,IBIPORA,SR3E FRIG,2019,PRETA,01206103768,true
QVQ5H46,IVECO,TECTOR 240E30SID,2019,PRATA,01236282750,true
RAA4F19,PALMEIRA,SRCF 3E,2022,PRETA,01332167630,true
RAC0A30,VOLVO,VM 270 6X2R,2019,BRANCA,01208329143,true
RAF2D89,VOLVO,FH 460 4X2T,2019,VERMELHA,01215988807,true
RAG9F58,MERCEDES BENZ,ACTROS 2546LS,2019,BRANCA,01212555730,true
RAI4879,VOLVO,,2019,BRANCA,01217210510,true
RAJ0J63,LIBRELATO,BTLOENCR 3E,2020,PRETA,01229144134,true
RDV5B15,SCANIA,R450 A4X2,2020,AZUL,01231945939,true
RDX9G05,RANDON,SR FG CG 3E,2020,PRETA,01232817292,true
REB0B29,MERCEDES BENZ,ACCELO 1016 CE,2020,BRANCO,01247878535,true
RJY4A24,SÃO PEDRO,SRFB 3E,2021,PRETA,01273287727,true
RKX7E10,MERCEDES BENZ,ACCELO 1016 CE,2021,BRANCA,01273269141,true
RLA5H62,MERCEDES BENZ,ATEGO 2426,2021,BRANCA,01256548542,true
RLA7G64,FIAT,DUCATO MAXICARGO,2021,BRANCO,01263460582,true
RLF2I93,MERCEDES BENZ,ATEGO 3030 CE,2021,BRANCA,01260816807,true
RLF5E92,MERCEDES BENZ,ATEGO 2430 CE,2021,VERMELHO,01257554570,true
RLH7A12,IVECO,TECTOR 240E30SID,2021,VERMELHA,01267977960,true
RLI1G86,PALMEIRA,SRCF 3E,2021,PRETA,01272718260,true
RLJ1G62,IVECO,TECTOR 310E30CE,2021,BRANCA,01258260856,true
RLJ3E50,MERCEDES BENZ,AXOR 2536 LS,2021,BRANCA,01285256163,true
RLL5D42,LINSHALM,SRF3ECL,2022,PRETA,01291529362,true
RMX7A41,SCANIA,,2021,AZUL,01259244552,true
RNJ9C44,RENAULT,MASTER FUR L1H1,2021,BRANCA,01271638328,true
RXK0B62,MERCEDES BENZ,ATEGO 2430 CE,2022,PRATA,01292887599,true
RXL1I10,VOLVO,FH 460 4X2T,2022,PRATA,01291130621,true
RXT3C87,VOLKSWAGEN,24.280 CRM 6X2,2021,MARROM,01279142402,true
RXT8I86,PALMEIRA,SRCF 3EL,2022,PRETA,01321462783,true
RXV7D41,PALMEIRA,SRCF 3EL,2023,PRETA,01344004170,true
RYA1I62,DAF,CF FAC 310,2023,VERMELHA,01345127291,true
RYF3G18,IVECO,TECTOR 240E30SID,2022,CINZA,01331608284,true
RYF7I31,RANDON,SR FG CG 3E,2023,PRETA,01336439332,true
RYH7B10,LIBRELATO,SRLN 4E,2023,PRETA,01343826400,true
RYI0I56,VOLKSWAGEN,DELIVERY 11.180,2023,BRANCA,01359073601,true
RYI3G61,VOLVO,FH 460 6X2T,2023,PRATA,01337080753,true
RYJ0H12,IVECO,TECTOR 310E30CE,2022,PRATA,01347429813,true
RYK0B55,VOLVO,FH 460 4X2T,2023,CINZA,01356691045,true
RYL9D14,VOLKSWAGEN,26.320 CRM 6X2,2023,AZUL,01389487862,true
RYN1D37,IVECO,TECTOR 240E30SID,2022,BRANCA,01366100627,true
RYO9G84,VOLKSWAGEN,26.260 CRM 6X2,2023,AZUL,01355742142,true
RYQ7G56,SCANIA,R450 A6X2,2023,BRANCA,01361372815,true
RYR1G94,MERCEDES BENZ,ATEGO 1719 CE,2023,BRANCA,01389934362,true
RYS4J85,SCANIA,R450 A6X2,2024,LARANJA,01394211926,true
RYT0B53,SCANIA,G370 A4X2,2024,CINZA,01384481912,true
RYT0C33,PALMEIRA,SRCF 3E,2024,PRETA,01384565903,true
RYU3B92,LINSHALM,SRF3ECL,2024,PRETA,01381064873,true
RYY4D77,IVECO,S-WAY 480-4X2,2024,VERMELHO,01401178496,true
RYY9A59,SR,RANDON - SR FG CG 3E,2024,PRETA,01415088605,true
RYZ7C09,SCANIA,G370 A4X2,2024,LARANJA,01415065400,true
SUF8J76,RENAULT,MASTER,2024,BRANCA,01391234763,true
SUH8D41,MERCEDES BENZ,ACCELO 1017 CE,2023,BRANCO,01375726070,true
SVW2I24,FACCHINI,SRF CF,2024,PRETA,01411363660,true
SXA8A68,DAF,CF FAC 310,2024,AZUL,01412096429,true
SXC0C61,VOLKSWAGEN,,2023,AZUL,01379570350,true
SXD4H63,VOLKSWAGEN,26.260 CRM 6X2,2023,BRANCO,01388583973,true
SXE1H89,RANDON,,2024,PRETA,01416341096,true
SXG8E11,VOLVO,FH 460 4X2T,2024,VERMELHO,01424026005,true
SXG9H91,MERCEDES BENZ,ACTROS 2548S,2024,BRANCO,01424071540,true
SXH9F32,PALMEIRA,SRCF 3E,2024,PRETA,01384015636,true
SXJ6A32,PALMEIRA,SRCF 3E,2025,PRETA,01427099500,true
SXK0E62,GUERRA,GSI 3E,2025,PRETA,01427193786,true
SXK0E92,VIDEIRA,CF 3EAG,2025,PRATA,01427193379,true
SXN6C19,SR,PALMEIRA SRCF 3E,2024,CINZA,01418455315,true
SXO3A31,VOLKSWAGEN,26.320 CRM 6X2,2024,VERMELHA,01434946069,true
SXO5E88,RANDON,SR FG CG 3E,2024,PRETA,01405483897,true
SXT5C53,SCANIA,G370 A4X2,2025,PRATA,01433367383,true
SXU2E03,RANDON,SR FG CG 3E,2025,PRETA,01433544480,true
SXU3H81,MERCEDES BENZ,ACTROS 2548S (3) (2P),2024,BRANCA,01426365516,true
SXU5J57,PALMEIRA,SRCF 3E,2024,PRETA,01407717127,true
SXU6D57,IVECO,TECTOR 11 190,2024,VERMELHA,01407723291,true
SXW7B62,PALMEIRA,SRCF 3E,2025,PRETA,01430086790,true
SXW7F31,JOINVILLE,SRJCF 3E,2025,PRETO,01429068415,true
SXX3H06,SCANIA,R450 A6X2,2024,VERDE,01409942616,true
SXX8A14,IVECO,TECTOR 11 190,2023,AZUL,01440965991,true
TCI4A98,VOLKSWAGEN,26.320 CRM 6X2,2024,BRANCA,01403780142,true
TPI2C43,LINSHALM,SRF3ECL,2025,PRETA,01435820018,true
TPJ5E95,VOLKSWAGEN,22 140 3 EIXOS 2P,2025,CINZA,01446665345,true
TPN0G94,MERCEDES BENZ,ACTROS 2553S,2025,BRANCA,01442749455,true
TPO2H35,GUERRA,GSI 3E,2025,PRETA,01447877605,true
TPO5A06,VOLKSWAGEN,26.320 CRM 6X2,2025,AZUL,01450961778,true
TPP0F47,VOLKSWAGEN,26 260 CRM 6X2,2025,AZUL,01458135621,true
TPQ5A89,JOINVILLE,SRJCF 3E,2025,PRETO,01468653285,true
TPT3C16,MERCEDES BENZ,ATEGO 2433CE,2025,ROSA,01452240512,true
TPZ0B27,MERCEDES BENZ,ACTROS 2045S,2025,CINZA,01460736599,true
TQB5F58,SR,PALMEIRA SRCF 3E,2025,PRETA,01456883358,true
